time,RegionID,Zipcode,City,State,Metro,CountyName,SizeRank,AveragePrice,ROI,value
1997-03-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,147100.0
1997-03-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,565900.0
1997-03-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,106900.0
1997-03-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,198100.0
1997-03-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,299300.0
1997-04-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,320600.0
1997-04-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,134400.0
1997-04-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,146400.0
1997-04-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,157000.0
1997-04-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,147200.0
1997-04-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,568200.0
1997-04-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,107600.0
1997-04-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,199100.0
1997-04-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,300000.0
1997-05-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,322900.0
1997-05-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,134700.0
1997-05-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,147400.0
1997-05-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,157800.0
1997-05-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,147200.0
1997-05-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,571100.0
1997-05-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,108400.0
1997-05-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,200100.0
1997-05-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,300900.0
1997-06-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,325300.0
1997-06-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,135000.0
1997-06-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,148300.0
1997-06-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,158400.0
1997-06-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,147200.0
1997-06-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,574500.0
1997-06-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,109100.0
1997-06-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,201000.0
1997-06-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,301800.0
1997-07-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,327700.0
1997-07-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,135400.0
1997-07-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,149100.0
1997-07-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,159100.0
1997-07-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,147400.0
1997-07-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,578400.0
1997-07-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,109800.0
1997-07-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,202000.0
1997-07-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,302800.0
1997-08-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,330300.0
1997-08-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,135900.0
1997-08-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,150000.0
1997-08-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,159800.0
1997-08-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,147800.0
1997-08-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,582600.0
1997-08-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,110600.0
1997-08-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,203100.0
